Name,Market Share,Units Sold,Last Revision Date,Stock Out,Pfmn,Size,Position Difference,Price,Price Difference,MTBF,MTBF Difference,Age,Age Difference,Promo Budget,Customer Awareness,Sales Budget,Customer Accessibility,Segment,Round,Position Out of Range,Price Out of Range,MTBF Out of Range,Age Out of Range,CSS
Far,0.0,4,9/28/2026,0,9.0,11.0,2.4041630560342613,44.5,29.5,20000,0,1.24,1.76,1375.0,0.98,0.0,0.81,0,5,0,1,0,1,1.0
Bravo,0.1,545,6/27/2026,0,10.7,9.3,0.2828427124746205,44.5,19.5,23000,0,1.36,1.36,1615.0,1.0,1000.0,0.97,1,5,0,0,0,1,52.0
Beam,0.1,538,6/5/2026,0,10.9,9.1,0.0,45.0,20.0,23000,0,1.19,1.19,2000.0,0.92,1000.0,0.97,1,5,0,1,0,1,52.0
Dazzle,0.09,464,4/15/2026,0,10.9,9.1,0.0,45.0,20.0,18000,5000,1.33,1.33,1500.0,0.97,1500.0,0.91,1,5,0,1,0,1,38.0
Actual,0.08,426,7/7/2026,0,11.2,8.8,0.424264068711927,44.49,19.490000000000002,19500,3500,1.36,1.36,1400.0,1.0,1500.0,0.87,1,5,0,0,0,1,40.0
Fun,0.08,406,7/9/2026,0,10.9,9.1,0.0,45.0,20.0,19000,4000,1.11,1.11,1800.0,0.87,1000.0,0.72,1,5,0,1,0,1,36.0
Beau,0.08,400,3/12/2026,1,10.9,9.1,0.0,45.0,20.0,23000,0,0.8,0.8,2000.0,0.7,1000.0,0.97,1,5,0,1,0,0,51.0
Elmo,0.07,367,11/9/2026,0,10.9,9.6,0.5,44.5,19.5,20000,3000,0.96,0.96,2000.0,0.92,2000.0,0.93,1,5,0,0,0,0,42.0
Fantom,0.06,318,3/3/2026,0,10.6,9.4,0.4242640687119295,45.0,20.0,18500,4500,0.83,0.83,1800.0,0.67,0.0,0.72,1,5,0,1,0,0,32.0
Far,0.06,302,9/28/2026,0,9.0,11.0,2.687005768508881,44.5,19.5,20000,3000,1.24,1.24,1375.0,0.98,0.0,0.72,1,5,0,0,0,1,17.0
Crepe,0.05,240,6/11/2026,0,10.9,9.1,0.0,44.0,19.0,18000,5000,0.55,0.55,2000.0,0.7,1500.0,0.94,1,5,0,0,0,0,39.0
Active,0.04,210,3/8/2025,0,7.8,12.2,4.384062043356595,35.0,10.0,17000,6000,1.81,1.81,2000.0,0.92,3000.0,0.87,1,5,1,0,1,1,13.0
Daze,0.04,190,4/2/2026,0,7.3,12.7,5.091168824543142,29.5,4.5,20000,3000,2.39,2.39,1400.0,1.0,3000.0,0.91,1,5,1,0,0,1,12.0
Able,0.17,1475,9/27/2026,0,7.0,13.0,1.1313708498984765,23.0,8.0,20000,0,3.09,0.08999999999999986,1385.0,1.0,1500.0,0.96,0,6,0,0,0,0,74.0
Baker,0.16,1399,5/18/2027,0,7.7,12.3,0.14142135623731025,25.0,10.0,20000,0,2.45,0.5499999999999998,1385.0,1.0,3000.0,0.91,0,6,0,0,0,0,74.0
Daze,0.13,1167,4/2/2026,0,7.3,12.7,0.7071067811865476,29.5,14.5,20000,0,3.39,0.3900000000000001,1400.0,1.0,3000.0,0.87,0,6,0,0,0,0,57.0
Eat,0.13,1138,4/13/2027,0,7.1,12.8,0.9219544457292898,25.99,10.989999999999998,19000,1000,2.85,0.1499999999999999,1400.0,1.0,3000.0,0.97,0,6,0,0,0,0,59.0
Fast,0.13,1130,7/11/2026,0,7.8,12.2,0.0,28.75,13.75,20000,0,3.24,0.2400000000000002,1400.0,0.99,600.0,0.88,0,6,0,0,0,0,59.0
Cookie,0.09,819,7/20/2026,0,8.0,12.0,0.2828427124746186,30.0,15.0,18000,2000,2.95,0.04999999999999982,1500.0,1.0,1500.0,0.88,0,6,0,0,0,0,45.0
Far,0.07,585,9/28/2026,1,9.0,11.0,1.6970562748477136,34.0,19.0,20000,0,2.24,0.7599999999999998,1400.0,0.99,3000.0,0.88,0,6,0,0,0,0,37.0
Active,0.06,516,1/26/2027,1,7.8,12.2,0.0,30.0,15.0,20000,0,2.81,0.18999999999999995,1700.0,1.0,3000.0,0.96,0,6,0,0,0,0,62.0
Eat+,0.05,431,7/21/2027,1,7.8,12.2,0.0,29.5,14.5,19000,1000,2.44,0.56,1400.0,1.0,1500.0,0.97,0,6,0,0,0,0,48.0
Cake,0.02,202,8/8/2024,1,6.6,13.4,1.697056274847715,25.0,10.0,18000,2000,5.34,2.34,1500.0,1.0,1500.0,0.88,0,6,0,0,0,1,27.0
Actual,0.09,589,4/6/2027,0,11.6,8.4,0.0,44.49,19.490000000000002,23000,0,1.55,1.55,1385.0,1.0,1500.0,0.93,1,6,0,0,0,1,50.0
Crepe,0.09,570,4/26/2027,0,11.4,8.6,0.282842712474618,44.0,19.0,18000,5000,1.12,1.12,2000.0,0.92,3000.0,0.98,1,6,0,0,0,1,44.0
Dazzle,0.09,566,5/25/2027,0,11.6,8.4,0.0,45.0,20.0,23000,0,1.46,1.46,1500.0,1.0,1500.0,0.95,1,6,0,1,0,1,51.0
Beam,0.08,540,4/21/2027,1,11.6,8.4,0.0,44.5,19.5,23000,0,1.44,1.44,1615.0,1.0,1000.0,0.96,1,6,0,0,0,1,51.0
Bravo,0.08,530,4/27/2027,1,11.4,8.6,0.282842712474618,44.5,19.5,23000,0,1.52,1.52,1385.0,1.0,1000.0,0.96,1,6,0,0,0,1,50.0
Beau,0.08,530,4/21/2027,1,11.6,8.4,0.0,45.0,20.0,23000,0,1.25,1.25,2000.0,0.92,1000.0,0.96,1,6,0,1,0,1,51.0
Fun,0.08,522,5/9/2027,1,11.5,8.5,0.141421356237309,45.0,20.0,23000,0,1.38,1.38,1650.0,0.98,0.0,0.82,1,6,0,1,0,1,47.0
Elmo,0.08,511,7/16/2027,0,11.6,8.4,0.0,44.5,19.5,20000,3000,1.21,1.21,1750.0,1.0,2000.0,0.97,1,6,0,0,0,1,44.0
Fantom,0.07,468,8/20/2027,0,11.7,8.3,0.141421356237309,45.0,20.0,23000,0,1.09,1.09,1800.0,0.87,0.0,0.82,1,6,0,1,0,1,48.0
Apple,0.05,328,3/3/2027,1,11.6,8.4,0.0,43.49,18.490000000000002,17000,6000,0.83,0.83,2000.0,0.7,3000.0,0.93,1,6,0,0,1,0,41.0
Dazed,0.05,297,4/11/2027,1,11.6,8.4,0.0,45.0,20.0,23000,0,1.22,1.22,2000.0,0.92,1500.0,0.95,1,6,0,1,0,1,53.0
Far,0.04,289,9/28/2026,1,9.0,11.0,3.6769552621700465,34.0,9.0,20000,3000,2.24,2.24,1400.0,0.99,3000.0,0.82,1,6,0,0,0,1,18.0
Baker,0.17,1696,5/18/2027,0,7.7,12.3,0.8485281374238585,19.99,4.989999999999998,20000,0,3.45,0.4500000000000002,1385.0,1.0,3000.0,0.92,0,7,0,0,0,0,90.0
Able,0.13,1294,11/30/2028,0,8.3,11.7,0.0,22.3,7.300000000000001,20000,0,2.08,0.9199999999999999,1385.0,1.0,1500.0,0.99,0,7,0,0,0,0,77.0
Daze,0.12,1205,4/26/2028,1,7.8,12.2,0.7071067811865481,25.5,10.5,20000,0,2.53,0.4700000000000002,1400.0,1.0,3000.0,0.89,0,7,0,0,0,0,70.0
Eat,0.12,1156,6/2/2028,0,7.8,12.0,0.5830951894845312,24.5,9.5,19000,1000,2.21,0.79,1400.0,1.0,2250.0,1.0,0,7,0,0,0,0,65.0
Far,0.1,980,9/28/2026,0,9.0,11.0,0.9899494936611656,30.0,15.0,20000,0,3.24,0.2400000000000002,1375.0,0.99,3000.0,0.9,0,7,0,0,0,0,57.0
Fast,0.1,951,12/6/2028,0,9.2,10.8,1.2727922061357835,28.5,13.5,20000,0,2.15,0.8500000000000001,1375.0,0.99,0.0,0.9,0,7,0,0,0,0,47.0
Eat+,0.1,951,7/21/2027,1,7.8,12.2,0.7071067811865481,27.99,12.989999999999998,19000,1000,3.44,0.43999999999999995,1400.0,1.0,2250.0,1.0,0,7,0,0,0,0,57.0
Cookie,0.1,950,7/20/2026,1,8.0,12.0,0.4242640687119295,27.0,12.0,18000,2000,3.95,0.9500000000000002,1500.0,1.0,3000.0,0.9,0,7,0,0,0,0,51.0
Active,0.06,584,1/26/2027,1,7.8,12.2,0.7071067811865481,30.0,15.0,20000,0,3.81,0.81,1385.0,1.0,3000.0,0.99,0,7,0,0,0,0,55.0
Dazed,0.07,550,4/13/2028,0,12.3,7.7,0.0,45.0,20.0,23000,0,1.47,1.47,1600.0,1.0,1500.0,0.95,1,7,0,1,0,1,51.0
Beau,0.07,544,4/17/2028,0,12.3,7.7,0.0,44.0,19.0,23000,0,1.48,1.48,1615.0,1.0,750.0,0.96,1,7,0,0,0,1,51.0
Emu,0.07,541,2/4/2028,0,12.3,7.7,0.0,44.99,19.990000000000002,23000,0,1.32,1.32,2000.0,0.92,2250.0,1.0,1,7,0,0,0,1,53.0
Fantom,0.07,540,2/29/2028,0,12.1,7.9,0.2828427124746199,45.0,20.0,23000,0,1.46,1.46,1700.0,0.98,0.0,0.88,1,7,0,1,0,1,47.0
Beam,0.07,536,4/17/2028,0,12.3,7.7,0.0,43.5,18.5,23000,0,1.57,1.57,1385.0,1.0,750.0,0.96,1,7,0,0,0,1,50.0
Actual,0.07,535,4/26/2028,0,12.3,7.7,0.0,44.49,19.490000000000002,23000,0,1.61,1.61,1385.0,1.0,1500.0,0.98,1,7,0,0,0,1,50.0
Dazzle,0.07,526,4/14/2028,0,12.3,7.7,0.0,45.0,20.0,23000,0,1.59,1.59,1400.0,1.0,1500.0,0.95,1,7,0,1,0,1,49.0
Bravo,0.07,524,5/12/2028,0,12.2,7.8,0.14142135623731025,43.5,18.5,23000,0,1.57,1.57,1385.0,1.0,750.0,0.96,1,7,0,0,0,1,50.0
Fun,0.07,512,4/23/2028,0,12.2,7.8,0.14142135623731025,45.0,20.0,23000,0,1.53,1.53,1400.0,0.99,500.0,0.88,1,7,0,1,0,1,47.0
Elmo,0.06,505,4/13/2028,0,12.3,7.7,0.0,43.45,18.450000000000003,20000,3000,1.46,1.46,1400.0,1.0,2000.0,1.0,1,7,0,0,0,1,47.0
Crepe,0.06,434,5/24/2028,0,12.0,8.0,0.4242640687119289,44.5,19.5,18000,5000,1.36,1.36,1600.0,1.0,1500.0,0.99,1,7,0,0,0,1,39.0
Beyond,0.05,414,3/25/2028,0,12.3,7.7,0.0,45.0,20.0,23000,0,0.77,0.77,2000.0,0.7,750.0,0.96,1,7,0,1,0,0,51.0
Able,0.15,1606,11/30/2028,0,8.3,11.7,0.7071067811865476,18.99,3.9899999999999984,20000,0,3.08,0.08000000000000007,1385.0,1.0,1500.0,1.0,0,8,0,0,0,0,94.0
Baker,0.14,1537,6/17/2029,0,8.1,11.9,0.989949493661168,19.25,4.25,20000,0,2.49,0.5099999999999998,1385.0,1.0,3000.0,0.93,0,8,0,0,0,0,93.0
Daze,0.13,1351,4/26/2028,0,7.8,12.2,1.4142135623730956,22.0,7.0,20000,0,3.53,0.5299999999999998,1400.0,1.0,3000.0,0.91,0,8,0,0,0,0,76.0
Eat,0.12,1245,6/2/2028,0,7.8,12.0,1.280624847486571,21.99,6.989999999999998,19000,1000,3.21,0.20999999999999996,1400.0,1.0,1600.0,0.99,0,8,0,0,0,0,71.0
Fast,0.1,1119,12/6/2028,1,9.2,10.8,0.565685424949236,27.0,12.0,20000,0,3.15,0.1499999999999999,1375.0,0.99,3000.0,0.92,0,8,0,0,0,0,71.0
Active,0.1,1037,2/7/2029,0,8.0,12.0,1.1313708498984771,28.49,13.489999999999998,20000,0,2.86,0.14000000000000012,1385.0,1.0,3000.0,1.0,0,8,0,0,0,0,62.0
Cookie,0.09,982,7/2/2029,0,8.7,11.3,0.1414213562373115,24.49,9.489999999999998,18000,2000,2.72,0.2799999999999998,1200.0,0.95,3000.0,0.92,0,8,0,0,0,0,66.0
Far,0.09,980,6/26/2029,0,8.5,11.5,0.4242640687119295,27.0,12.0,20000,0,2.37,0.6299999999999999,1375.0,0.99,0.0,0.92,0,8,0,0,0,0,59.0
Eat+,0.09,945,3/31/2029,0,8.4,11.6,0.5656854249492386,27.5,12.5,19000,1000,2.6,0.3999999999999999,1400.0,1.0,1600.0,0.99,0,8,0,0,0,0,58.0
Actual,0.08,696,3/6/2029,0,12.7,7.3,0.4242640687119289,39.99,14.990000000000002,23000,0,1.72,1.72,1385.0,1.0,1500.0,1.0,1,8,0,0,0,1,56.0
Apple,0.07,620,4/1/2029,0,12.7,7.3,0.4242640687119289,44.49,19.490000000000002,23000,0,1.5,1.5,1385.0,0.91,2000.0,1.0,1,8,0,0,0,1,50.0
Beyond,0.07,617,4/23/2029,0,13.0,7.0,0.0,45.0,20.0,23000,0,1.23,1.23,2000.0,0.92,750.0,0.96,1,8,0,1,0,1,52.0
Apt,0.07,613,4/19/2029,0,13.0,7.0,0.0,44.49,19.490000000000002,23000,0,1.27,1.27,1700.0,0.87,1000.0,1.0,1,8,0,0,0,1,52.0
Beau,0.06,579,4/21/2029,0,13.0,7.0,0.0,44.5,19.5,23000,0,1.58,1.58,1385.0,1.0,750.0,0.96,1,8,0,0,0,1,49.0
Fungus,0.06,577,4/24/2029,0,12.8,7.2,0.2828427124746186,45.0,20.0,23000,0,1.23,1.23,1800.0,0.87,0.0,0.89,1,8,0,1,0,1,47.0
Dazed,0.06,576,4/11/2029,0,13.0,7.0,0.0,45.0,20.0,23000,0,1.59,1.59,1400.0,1.0,1500.0,0.95,1,8,0,1,0,1,49.0
Emu,0.06,575,4/14/2029,1,13.0,7.0,0.0,44.99,19.990000000000002,23000,0,1.52,1.52,1700.0,1.0,1600.0,0.99,1,8,0,0,0,1,51.0
Dazzle,0.06,563,4/11/2029,0,13.0,7.0,0.0,45.0,20.0,23000,0,1.65,1.65,1400.0,1.0,1500.0,0.95,1,8,0,1,0,1,48.0
Fantom,0.06,560,4/24/2029,0,12.8,7.2,0.2828427124746186,45.0,20.0,23000,0,1.57,1.57,1375.0,0.99,500.0,0.89,1,8,0,1,0,1,46.0
Beam,0.06,559,4/21/2029,1,13.0,7.0,0.0,44.0,19.0,23000,0,1.63,1.63,1385.0,1.0,750.0,0.96,1,8,0,0,0,1,49.0
Bravo,0.06,555,4/27/2029,1,12.9,7.1,0.141421356237309,43.5,18.5,23000,0,1.63,1.63,1385.0,1.0,750.0,0.96,1,8,0,0,0,1,50.0
