Name,Market Share,Units Sold,Last Revision Date,Stock Out,Pfmn,Size,Position Difference,Price,Price Difference,MTBF,MTBF Difference,Age,Age Difference,Promo Budget,Customer Awareness,Sales Budget,Customer Accessibility,Segment,Round,Position Out of Range,Price Out of Range,MTBF Out of Range,Age Out of Range,CSS
Baker,0.12,791,3/20/2024,1,5.0,15.0,1.838477631085024,32.0,17.0,20000,0,3.88,0.8799999999999999,1000.0,0.71,2800.0,0.81,0,3,0,0,0,0,28.0
Daze,0.08,501,9/29/2024,0,5.8,14.2,0.7071067811865476,32.0,17.0,14000,6000,2.02,0.98,0.0,0.66,0.0,0.35,0,3,0,0,1,0,10.0
Baker1,0.0,8,9/29/2024,0,8.1,11.8,2.617250465660479,44.0,29.0,17500,2500,0.24,2.76,2000.0,0.7,3000.0,0.81,0,3,0,1,0,1,1.0
Ear,0.0,6,9/1/2024,1,8.8,11.2,3.535533905932738,42.5,27.5,19000,1000,0.32,2.68,2000.0,0.7,2000.0,0.59,0,3,0,1,0,1,1.0
Faster,0.24,902,10/8/2024,0,9.5,10.5,0.0,45.0,20.0,18000,5000,0.9,0.9,1900.0,0.87,2200.0,0.79,1,3,0,1,0,0,36.0
Able1,0.22,831,9/21/2023,0,9.5,10.5,0.0,45.0,20.0,17000,6000,1.27,1.27,2000.0,0.76,3000.0,0.75,1,3,0,1,1,1,28.0
Cookie,0.21,779,6/15/2023,0,8.4,11.6,1.5556349186104041,45.0,20.0,20000,3000,1.54,1.54,2000.0,0.92,1500.0,0.72,1,3,0,1,0,1,21.0
Cake,0.07,252,4/23/2022,0,6.0,14.0,4.949747468305833,31.5,6.5,20000,3000,4.39,4.39,1800.0,0.97,1500.0,0.72,1,3,1,0,0,1,6.0
Ear,0.06,217,9/1/2024,1,8.8,11.2,0.9899494936611656,42.5,17.5,19000,4000,0.32,0.32,2000.0,0.7,2000.0,0.7,1,3,0,0,0,0,34.0
Able,0.06,215,2/27/2024,0,6.3,13.7,4.525483399593904,33.0,8.0,17000,6000,3.98,3.98,1522.0,1.0,3000.0,0.75,1,3,1,0,1,1,6.0
Fast,0.06,215,10/3/2024,1,6.8,13.2,3.818376618407356,33.5,8.5,19000,4000,2.26,2.26,1500.0,1.0,2200.0,0.79,1,3,0,0,0,1,14.0
Eat,0.04,168,6/11/2024,0,6.3,13.7,4.525483399593904,33.0,8.0,14000,9000,2.46,2.46,2000.0,1.0,2000.0,0.7,1,3,1,0,1,1,3.0
Baker1,0.03,127,9/29/2024,0,8.1,11.8,1.9104973174542808,44.0,19.0,17500,5500,0.24,0.24,2000.0,0.7,3000.0,0.78,1,3,0,0,0,0,23.0
Digby,0.01,41,10/13/2024,1,8.1,11.9,1.9798989873223336,45.0,20.0,17000,6000,0.2,0.2,0.0,0.25,1000.0,0.38,1,3,0,1,1,0,11.0
Baker,0.01,20,3/20/2024,1,5.0,15.0,6.363961030678928,32.0,7.0,20000,3000,3.88,3.88,1000.0,0.71,2800.0,0.78,1,3,1,0,0,1,0.0
Daze,0.0,10,9/29/2024,0,5.8,14.2,5.232590180780451,32.0,7.0,14000,9000,2.02,2.02,0.0,0.66,0.0,0.38,1,3,1,0,1,1,1.0
Able,0.17,840,11/21/2018,0,6.4,13.6,2.262741699796952,34.0,19.0,21000,0,3.1,0.10000000000000009,1000.0,0.55,1000.0,0.4,0,0,0,0,0,0,18.0
Baker,0.17,840,11/21/2018,0,6.4,13.6,2.262741699796952,34.0,19.0,21000,0,3.1,0.10000000000000009,1000.0,0.55,1000.0,0.4,0,0,0,0,0,0,18.0
Cake,0.17,840,11/21/2018,0,6.4,13.6,2.262741699796952,34.0,19.0,21000,0,3.1,0.10000000000000009,1000.0,0.55,1000.0,0.4,0,0,0,0,0,0,18.0
Daze,0.17,840,11/21/2018,0,6.4,13.6,2.262741699796952,34.0,19.0,21000,0,3.1,0.10000000000000009,1000.0,0.55,1000.0,0.4,0,0,0,0,0,0,18.0
Eat,0.17,840,11/21/2018,0,6.4,13.6,2.262741699796952,34.0,19.0,21000,0,3.1,0.10000000000000009,1000.0,0.55,1000.0,0.4,0,0,0,0,0,0,18.0
